epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1518574080,1518575141,0.511807860311,0.224682352727,0.445005829334,0.322666666508
1,r1518574080,1518576292,0.431205500925,0.368329412394,0.405940199296,0.40693333288
2,r1518574080,1518577413,0.399700516673,0.427882352664,0.386837549607,0.445466664433
3,r1518574080,1518578475,0.378075224372,0.469247057718,0.378276140491,0.466799999078
4,r1518574080,1518579548,0.364557728241,0.497647057807,0.368458959262,0.484266664584
5,r1518574080,1518580607,0.351933858044,0.521458822945,0.35743064026,0.500533331037
6,r1518574080,1518581667,0.343631649684,0.537576471357,0.361180622776,0.505866665641
7,r1518574080,1518582735,0.333483238676,0.557458825182,0.351967781782,0.511866665483
8,r1518574080,1518583796,0.323543542799,0.576211766495,0.357313922445,0.516133333842
9,r1518574080,1518584864,0.315952479909,0.592658826428,0.33886462152,0.528933334947
10,r1518574080,1518585889,0.307418255788,0.611858828068,0.348450164795,0.524266666373
11,r1518574080,1518586915,0.299038843775,0.627035298102,0.345792959531,0.53200000147
12,r1518574080,1518587952,0.292331234567,0.644282356921,0.340378506581,0.541733333667
13,r1518574080,1518588988,0.2853544447,0.661176475672,0.344438326557,0.534133335352
14,r1518574080,1518590027,0.279129574895,0.675247063847,0.345378724138,0.535600000421
15,r1518574080,1518591068,0.272518672049,0.692070591695,0.342877936959,0.543066665729
16,r1518574080,1518592111,0.265535438797,0.709458825834,0.344001374443,0.540400001605
17,r1518574080,1518593153,0.259762182797,0.726541177315,0.335841196974,0.546266668836
18,r1518574080,1518594199,0.253782619834,0.738752941805,0.338705776334,0.54453333497
19,r1518574080,1518595240,0.248757570737,0.750941175503,0.346140670975,0.542400001486
20,r1518574080,1518596280,0.242656980472,0.766329411408,0.337912403941,0.551466668447
21,r1518574080,1518597325,0.237661056431,0.776752938804,0.34199592332,0.552266670267
22,r1518574080,1518598370,0.232499898269,0.789764703021,0.339018296599,0.547866667112
