epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1519745467,1519745896,0.45497584946,0.300776470453,0.394205086033,0.417333334088
1,r1519745467,1519746334,0.361837210445,0.481341175753,0.356989997625,0.488933331172
2,r1519745467,1519746776,0.325833214907,0.549200001254,0.339467313488,0.523466665149
3,r1519745467,1519747213,0.296158864779,0.6072235322,0.33190132459,0.54493333598
4,r1519745467,1519747650,0.26735529258,0.66663529957,0.323451656103,0.560533334812
5,r1519745467,1519748089,0.241282055255,0.7204235302,0.302355284592,0.598933337132
6,r1519745467,1519748528,0.2150773872,0.776705879814,0.308476268848,0.584266666969
7,r1519745467,1519748965,0.193835239218,0.818705877066,0.305208323995,0.594933338165
8,r1519745467,1519749391,0.173418793266,0.856423524548,0.294699790875,0.608933338324
9,r1519745467,1519749820,0.155870914337,0.886564701796,0.291446030041,0.616933337847
10,r1519745467,1519750250,0.142528191989,0.90569411383,0.29895042936,0.596933336457
11,r1519745467,1519750675,0.126452043854,0.928799996657,0.292042009334,0.608133338094
12,r1519745467,1519751111,0.116909211225,0.940470586805,0.292976836463,0.613733336131
13,r1519745467,1519751546,0.106300119758,0.952729410915,0.297115168174,0.616800003846
14,r1519745467,1519751973,0.0962743987012,0.963341176229,0.297273609042,0.61426667134
15,r1519745467,1519752410,0.0876823522063,0.969929412954,0.291387264033,0.624000005325
16,r1519745467,1519752849,0.080723019067,0.976305884544,0.29258758982,0.615466671983
17,r1519745467,1519753277,0.0748111480036,0.979529414738,0.290209085345,0.612800003886
18,r1519745467,1519753700,0.0681394435991,0.983882357022,0.300549235245,0.607733338277
19,r1519745467,1519754127,0.0630341529583,0.987176474964,0.294913037121,0.614666670958
20,r1519745467,1519754554,0.0576761348502,0.989411768633,0.29829406937,0.6156000036
21,r1519745467,1519754957,0.0543170964937,0.990494121523,0.301685242951,0.598666671316
22,r1519745467,1519755352,0.0498684865631,0.992894121198,0.305565539698,0.590133337379
23,r1519745467,1519755754,0.0472950432384,0.993976474019,0.306480503182,0.590933336417
24,r1519745467,1519756152,0.0445795327074,0.995105885057,0.298102771938,0.602133336862
25,r1519745467,1519756560,0.0400533519313,0.996188238298,0.301302254597,0.601733337045
26,r1519745467,1519756970,0.0388188601592,0.996588237776,0.2999790742,0.598800003131
