epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1519745453,1519749980,0.455657294603,0.326282353094,0.389420508941,0.436399997075
1,r1519745453,1519753950,0.460009441586,0.401152940555,0.423811731736,0.422400000493
2,r1519745453,1519756976,0.368127746757,0.489952940503,0.361717499097,0.487599998713
3,r1519745453,1519760145,0.341004946302,0.543011765655,0.362531804442,0.501199997663
4,r1519745453,1519763203,0.317560671919,0.592400003216,0.346159697771,0.524000000159
5,r1519745453,1519765413,0.301808383325,0.627317651756,0.336057503422,0.558800002337
6,r1519745453,1519767626,0.276711766737,0.676870592061,0.328300792575,0.562666667501
7,r1519745453,1519769959,0.257320399951,0.71595294437,0.32844729046,0.575466668606
8,r1519745453,1519772905,0.237845679697,0.75696470492,0.316105210185,0.591333334446
