epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1518802244,1518803042,0.447427741114,0.334917647317,0.401574494441,0.420133333007
1,r1518802244,1518803831,0.372744960364,0.473294116662,0.380410956343,0.473599999547
2,r1518802244,1518804638,0.343225315879,0.530752941335,0.347933448156,0.514266667565
3,r1518802244,1518805432,0.317081646025,0.580611766647,0.348680611849,0.528533332547
4,r1518802244,1518806229,0.294728731425,0.625929415892,0.321317565242,0.555200003386
5,r1518802244,1518807019,0.274907643515,0.666117652234,0.31984291633,0.574266669154
6,r1518802244,1518807808,0.255030721496,0.706705885494,0.308011646171,0.595066669981
7,r1518802244,1518808591,0.237946023485,0.739035294897,0.310147282183,0.596133338014
8,r1518802244,1518809374,0.221969675667,0.771811762768,0.306109922628,0.595466669003
9,r1518802244,1518810162,0.239777964406,0.760447056662,0.29791891704,0.623066671491
10,r1518802244,1518810952,0.199927998203,0.814870582609,0.298357250889,0.606933336258
11,r1518802244,1518811747,0.186913713059,0.838470582541,0.305459893445,0.604266669552
12,r1518802244,1518812540,0.179486747393,0.853341171882,0.299036231041,0.621066669226
13,r1518802244,1518813331,0.168471373048,0.872447053825,0.296121533314,0.623466671904
14,r1518802244,1518814118,0.160208384211,0.888705877697,0.289808522761,0.632800004482
15,r1518802244,1518814910,0.151697220443,0.902870583324,0.29034013778,0.625466670593
16,r1518802244,1518815704,0.14423986981,0.914894114172,0.291396164993,0.630133336385
17,r1518802244,1518816508,0.136637353564,0.924894114663,0.287421950102,0.637733335694
18,r1518802244,1518817313,0.129583300764,0.932517643396,0.302388951182,0.620133334796
19,r1518802244,1518818095,0.123186375841,0.942682350313,0.299689697027,0.627466670473
20,r1518802244,1518818877,0.117442479738,0.949035293004,0.294241832693,0.635333337386
21,r1518802244,1518819657,0.112608013548,0.95517647035,0.301591552893,0.614000005126
22,r1518802244,1518820432,0.104528505565,0.962917648484,0.294874184032,0.627200006247
23,r1518802244,1518821214,0.102025640405,0.965058822351,0.300094620585,0.626266671618
24,r1518802244,1518821999,0.099193147342,0.967200000356,0.29782736669,0.619200004538
25,r1518802244,1518822781,0.0914520889082,0.973835296491,0.289250557125,0.630800003608
26,r1518802244,1518823560,0.0886861102283,0.975388237729,0.294611460666,0.632533339262
27,r1518802244,1518824340,0.0862221052761,0.978047061247,0.30219091624,0.612000006437
28,r1518802244,1518825123,0.0811000939546,0.981529415075,0.303738351166,0.614533338944
