epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1518787072,1518791976,0.543136255331,0.340770000834,0.216880674698,0.758227846479
1,r1518787072,1518796949,0.177719533689,0.800249996156,0.153517758073,0.821518981759
2,r1518787072,1518801757,0.137803506305,0.841179994345,0.130089261604,0.851265817126
3,r1518787072,1518806613,0.120619974289,0.859179994434,0.123026138596,0.852405057112
4,r1518787072,1518811405,0.109854288058,0.870949995518,0.116020407245,0.86253163973
5,r1518830572,1518837609,0.101363685617,0.880709994882,0.109544966276,0.87082278106
6,r1518830572,1518844419,0.0976407565642,0.884019995689,0.11398094619,0.86037974003
7,r1518830572,1518851262,0.09130195852,0.892319995791,0.107088266094,0.870886070442
8,r1518830572,1518858035,0.0873833312746,0.8964599953,0.105917381783,0.866455690016
8,r1518865811,1518873116,0.0845100916736,0.900939996302,0.104422614662,0.874240500074
9,r1518865811,1518880311,0.0831590166232,0.901709996343,0.107762366144,0.865189868627
10,r1518865811,1518887928,0.0786564963879,0.908229996681,0.105045658006,0.874493665899
