epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1518826412,1518826474,1.57138001912,0.433364705645,1.65235086838,0.400133332511
1,r1518826412,1518826538,1.38728131995,0.513458823421,2.17840227286,0.312133334577
2,r1518826412,1518826595,1.41081146072,0.507199999655,2.03101181904,0.294933333
3,r1518826412,1518826651,1.48184533484,0.475294116928,2.18212278525,0.242533332755
4,r1518826412,1518826707,1.5614573187,0.453176469119,2.21553538958,0.298800001492
5,r1518826412,1518826764,1.60912133722,0.425647058715,1.9646514678,0.298400000036
6,r1518826412,1518826820,1.58310127006,0.436447057882,2.3046538345,0.284000000457
7,r1518826412,1518826877,1.64080330274,0.414823528739,2.06258618514,0.298533334037
8,r1518826412,1518826933,1.66330732766,0.412117646354,2.06933952649,0.29706666713
9,r1518826412,1518826990,1.72122400172,0.386917647772,2.39620302359,0.191466666882
10,r1518826412,1518827046,1.79617844624,0.340494118131,2.26121131102,0.219466666877
11,r1518826412,1518827102,1.78024181029,0.351176470991,2.31228607734,0.217733332614
