epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1518696728,1518697346,0.0625701026141,0.938680002097,0.0146737533744,0.988100003898
1,r1518696728,1518697875,0.012047702222,0.991200004339,0.012366802076,0.990300004482
2,r1518696728,1518698401,0.00784061670874,0.994740003645,0.0108178037073,0.990100003183
3,r1518696728,1518698929,0.00595501793068,0.996360002518,0.00950084769429,0.992300004363
4,r1518696728,1518699460,0.00445407335545,0.99754000181,0.00889402786426,0.991900003552
5,r1518696728,1518699985,0.00415180631274,0.997420001924,0.00834706620924,0.993000002503
6,r1518696728,1518700515,0.00345144962829,0.997940001667,0.00856999566808,0.992000003755
7,r1518696728,1518701036,0.00280235527901,0.998820001066,0.00806613112725,0.991900004447
8,r1518696728,1518701558,0.0021791790776,0.999220000744,0.00872488739264,0.992100004256
9,r1518696728,1518702079,0.00225899074852,0.998980000913,0.00764112738303,0.9931000036
10,r1518696728,1518702611,0.00196207526655,0.999340000629,0.00878822581304,0.992400003672
11,r1518696728,1518703137,0.00125219133892,0.999720000267,0.00742746309159,0.993200003207
12,r1518696728,1518703660,0.00148990090479,0.999580000401,0.00812562413405,0.992500003874
13,r1518696728,1518704185,0.00139970060984,0.999640000343,0.00856923197657,0.99190000385
14,r1518696728,1518704710,0.00115181108803,0.99956000036,0.00850396099222,0.992100003958
15,r1518696728,1518705236,0.00119348819588,0.999840000153,0.00769926698259,0.992700002491
16,r1518696728,1518705762,0.00121526496061,0.99978000021,0.0081990671966,0.992000004053
17,r1518696728,1518706289,0.000976406810207,0.999840000153,0.00909495733593,0.990500003397
18,r1518696728,1518706816,0.0011728122685,0.999760000229,0.00903919018138,0.991400002539
19,r1518696728,1518707342,0.00105768745091,0.999700000286,0.00768118482623,0.992600003183
20,r1518696728,1518707869,0.000716842703885,0.999800000191,0.00829473143571,0.992200003862
21,r1518696728,1518708396,0.000641165291399,0.999960000038,0.00842566507279,0.991900004447
