epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1518829175,1518829275,1.62472813732,0.410494117868,1.68841936509,0.44853333205
1,r1518829175,1518829369,1.44117992394,0.48639999898,2.00116171996,0.347466665904
2,r1518829175,1518829457,1.41131741987,0.501623528775,1.64454451164,0.417466665109
3,r1518829175,1518829546,1.49938046848,0.468211764343,1.74506534417,0.39160000056
4,r1518829175,1518829634,1.51812635394,0.467223528273,2.12747737408,0.261733333568
5,r1518829175,1518829723,1.69259691421,0.405599999375,1.72206899405,0.37493333439
6,r1518829175,1518829812,1.61443652195,0.423882352184,2.42258849541,0.280000000099
7,r1518829175,1518829900,1.68811712139,0.405317646528,1.93738029242,0.344800001681
8,r1518829175,1518829989,1.7158128988,0.389976471066,1.84839124759,0.361333334247
9,r1518829175,1518830078,1.83057163393,0.334776470872,1.91095881701,0.277200001081
10,r1518829175,1518830167,1.91795588788,0.284305882612,2.11046683232,0.207733333011
11,r1518829175,1518830255,1.91930367596,0.295694118265,2.02922122558,0.254000000854
