epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1518832463,1518833463,0.182886195695,0.807160492082,0.154626064924,0.869484529975
1,r1518832463,1518834476,0.0631894045222,0.979259262482,0.150436324634,0.865670097243
2,r1518832463,1518835470,0.0421343359813,0.991440332108,0.148253921458,0.865360817651
3,r1518832463,1518836453,0.0317578088538,0.995802472526,0.132933755703,0.895773190198
4,r1518832463,1518837424,0.025271768674,0.997572018654,0.120158508497,0.900103088507
5,r1518832463,1518838409,0.705595522272,0.656213992616,1.61946152412,0.20381443335
6,r1518832463,1518839391,1.61902779684,0.196995884609,1.61982785426,0.200515464121
7,r1518832463,1518840365,1.61982269052,0.200823045079,1.61981729011,0.206804123217
8,r1518832463,1518841325,1.61980977618,0.200164608995,1.61980171548,0.191340205768
9,r1518832463,1518842300,1.61978738102,0.196502057475,1.61977013669,0.197010309349
10,r1518832463,1518843274,1.61973550511,0.196296295795,1.6196780426,0.203402062168
11,r1518832463,1518844247,1.6194882545,0.195473251098,1.61949529046,0.19793814342
12,r1518832463,1518845220,1.61945097706,0.197818929904,1.61971257335,0.202474226349
13,r1518832463,1518846191,1.61959828516,0.197242798192,1.61966819308,0.204226804763
14,r1518832463,1518847163,1.61932386243,0.198930041351,1.61973219987,0.197525772909
15,r1518832463,1518848133,1.61954080347,0.201275720257,1.61955541987,0.20216494814
