epoch,run_id,timestamp,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy
0,r1518599300,1518600217,0.498172377979,0.248729412104,0.433136527141,0.364933334092
1,r1518599300,1518601059,0.407830098306,0.411482352562,0.396373780966,0.438666664362
2,r1518599300,1518601916,0.378926559581,0.47056470466,0.380117632349,0.46493333141
3,r1518599300,1518602809,0.360454252432,0.505223528322,0.371876395146,0.470799999436
4,r1518599300,1518603710,0.342181443099,0.538564705954,0.375806086461,0.473733331164
5,r1518599300,1518604683,0.328441076664,0.568400002788,0.351253625751,0.507733331124
6,r1518599300,1518605675,0.313720792216,0.598941179514,0.352563245495,0.515466667612
7,r1518599300,1518606672,0.300377061507,0.631082356888,0.3588446033,0.522266667883
8,r1518599300,1518607615,0.287384586106,0.659623534329,0.340525062084,0.536000000834
9,r1518599300,1518608556,0.275394655676,0.683364709335,0.341047346195,0.536666665077
10,r1518599300,1518609550,0.264524041362,0.712682355748,0.343064869245,0.530000000397
11,r1518599300,1518610537,0.252655085395,0.738094118202,0.338734125197,0.543466665745
12,r1518599300,1518611501,0.244613788934,0.754682352403,0.343054284453,0.539866667589
13,r1518599300,1518612463,0.23439708424,0.781105879685,0.345035800636,0.535333331823
14,r1518599300,1518613440,0.227193114214,0.798799996306,0.343411505024,0.549200001955
15,r1518599300,1518614423,0.217839236575,0.819435288766,0.336197556853,0.552000000477
16,r1518599300,1518615414,0.209792714943,0.835999994979,0.342430106799,0.548533333739
17,r1518599300,1518616404,0.202785285378,0.851011760024,0.344175643126,0.547600000302
18,r1518599300,1518617385,0.195890139745,0.862399994696,0.342217202584,0.542800001899
19,r1518599300,1518618379,0.189775882959,0.875152936613,0.343531741103,0.549066666961
20,r1518599300,1518619374,0.182827516023,0.887999995035,0.342877961596,0.547600001693
21,r1518599300,1518620376,0.177147716407,0.896494113417,0.343280074795,0.548400001129
22,r1518599300,1518621367,0.172963911628,0.905176467615,0.351511612535,0.53106666704
23,r1518599300,1518622354,0.167777218494,0.912988231533,0.356870268583,0.527466667295
24,r1518599300,1518623346,0.165333719411,0.916141173559,0.348224648635,0.539066669345
25,r1518599300,1518624344,0.159795519306,0.923482350392,0.349641731977,0.537600001295
26,r1518599300,1518625333,0.156071605139,0.931552939485,0.349241841237,0.54013333261
